sentence,label
가래떡은 한 봉지에 얼마나 들어가나요?[SEP]이렇게 다 해서 몇 키로나 나오나요?[SEP]이쪽에 있는 떡들이랑 저쪽에 있는 떡들은 가격이 얼마나 차이나요?[SEP]가격 차이가 나는 이유가 뭔가요?[SEP]이 꿀떡이랑 저 떡이랑 가격 차이가 나나요?,5
아내와 함께 걷는 것처럼 간단한 운동은 즐겁습니다.[SEP]맞아요.[SEP]저는 하루가 끝날 무렵 그런 운동을 합니다.[SEP]그리고 알다시피.[SEP]그 운동하는 시간 동안 하루의 스트레스가 풀리죠.,3
"삼월 삼십일부터 사월 둘째 주까지 벚꽃 축제 시즌이에요. 제가 예약 담당하는 부서 연락처 알려드릴게요[SEP]가격하고 그런 거는 그쪽으로 문의를 드려야 하나요?[SEP]네, 해당 부서가 예약 서비스 팀인데 제가 번호를 알려드릴게요[SEP]해당 부서 번호 어떻게 돼요?[SEP]일오팔팔 둘둘구구 번이고 영 번 누르면 바로 상담원 연결돼요",5
"단체로 가려는데, 예약해야하나요?[SEP]현금영수증 발급 받을 수 있나요?[SEP]현금영수증은 어떻게 받을 수 있죠?[SEP]현금 영수증 못 받았는데, 발급 좀 해주실래요?[SEP]현금으로만 결제 해야 현금영수증 받을 수 있죠?",2
두개 같이 갈아 먹을 수도 있는 거죠?[SEP]씻어서 먹어야 되나요?[SEP]여기있는 파인애플은 어떻게 손질한거에요?[SEP]메론 손질은 어떻게 하나요?[SEP]사과 어떻게 예쁘게 손질해요?,5
그래서 의도적으로 운동을 많이 안 했어요.[SEP]당신은 어때요?[SEP]글쎄요.[SEP]재미있네요.[SEP]어제 진지하게 운동을 시작했어요.,3
"험한 지형에 가는데 아이들을 태우고 싶진 않거든요.[SEP]맞는 방법 찾기가 어려워요. [SEP]시간을 낸다든지, 일주일에 3번씩은 한다든지 하는 게 쉽지 않아요.[SEP]전 걷기나 달리기가 좋을 거 같아요.[SEP]시간이나 돈이 크게 들지 않거든요.",3
"전기로 하는 건가?[SEP]아니야, 손으로 하는 종류야.[SEP]그건.[SEP]이태리에서 하나 샀어.[SEP]최고의 물건이지.",1
"가족이랑.[SEP]그래, 내가 소금 반죽으로 만드는 거 얘기했지.[SEP]그게 우리 가족이랑 같이 한 거야. 작은 장식 종류들 만든 거.[SEP]그래.[SEP]나는 별로 손재주가 없어.",1
네 핸드메이드로 해가지고 그 가격으로 팔아요[SEP]착용해볼 수 있어요?[SEP]네 가능하세요[SEP]이거는 요즘 들어온 거예요?[SEP]네 어제 들어왔어요,2
일이 잘 풀렸기 때문에 그게 그가 후보로 나온 이유가 된 거죠. [SEP]그러고 나서는 물론 밑바닥으로 떨어졌지만요.[SEP]그건 그러니까 힘들다는 거죠.[SEP]어려운 재정 상황에서 벗어날 수 있는 두 가지 방법이 있습니다.[SEP]짐작컨데 세금을 올리고 난 다음 직업 프로그램인가 뭔가 하는 것들을 만드는 걸 좋아할 수도 있을 것 같군요.,0
저는 점점 더 사고방식이 그렇게 변해가고 있다고 생각해요.[SEP]왜냐하면 저희 딸도 그렇거든요.[SEP]이제 딸 아이도 그렇게 말하더군요.[SEP]아마 서른이나 되면 아이를 갖고 싶어질지도 모르겠다고.[SEP]저는 손주가 보고 싶기는 하지만 그녀의 입장을 이해해요.,4
부모님의 프로그램 참여 문제로 돌아간 것 같아.[SEP]그렇지.[SEP]예를 들자면 내 아이 둘 다 갈런드 학군에 학교를 다니고 있어.[SEP]최고의 교사와 우수한 학생들이 있어서 사립학교라고 생각할 수도 있지만.[SEP]사실 그 학교는 공립이야.,4
우리가 모든 주제를 다룰 수 있을 것 같아요.[SEP]지식의 깊이가 꽤 다르긴 하지요.[SEP]그렇지요.[SEP]야구를 골랐을 때요.[SEP]제가 야구는 이해할 수 있어요.,3
포인트 적립한 거 카드로만 사용 가능한가요?[SEP]전화번호로 포인트 사용 되나요?[SEP]소보루빵은 한 번 밖에 안나와요?[SEP]식빵은 오전이랑 오후 두 번 나오나요?[SEP]피자빵 더 안 나오나요? 하루 한 번 나와요?,5
무슨 말인지 알겠어?[SEP]그래.[SEP]내 학위는 절대 가치가 없다는 거야.[SEP]유익한 건 내 경험과 지식이야.[SEP]하지만 난 거꾸로 왔어.,4
"응.[SEP]그래, 그거 좋았어.[SEP]아주 좋았어.[SEP]음, 괜찮았어.[SEP]난 내용이 좀 억지스럽다고 느꼈어.",1
봄 상품으로 찾으세요?[SEP]네 봄 상품[SEP]이제 겨울 거는 들어간다고 할인하는 거예요?[SEP]할인하는 제품은 이월 상품이에요[SEP]이월 상품은 언제 거예요?,2
"친구들이 올 때를 말하는 것 같아.[SEP]전통적인 저녁 파티 같은 걸 말하려는 거지?[SEP]그렇지?[SEP]응, 전통적인 거 맞아.[SEP]그렇게 막 엄청 까다롭지는 않을거야.",1
내가 자랄 때는 항상 개가 있었는데 주로 잡종견이었어.[SEP]똥개가 아닌 잡종견들이 항상 최고의 반려견인 것 같아.[SEP]우리가 찾은 개가 바로 그래.[SEP]우리 개는 코카푸 종인 것 같아.[SEP]반은 코커스패니얼 종이고 반은 푸들 종이었어.,1
"저는 아직 아이가 진짜로 드럼을 배우고 싶은건지 아닌지 잘 모르겠어요.[SEP]그냥 기다리면서 아이가 관심이 있는지 보려고요.[SEP]네, 그렇군요.[SEP]아직 갈 길이 머네요.[SEP]그러게요.",6
여기 모두 금연석 맞나요?[SEP]금연석에 자리있어요?[SEP]금연석에서는 흡연하면 안되죠?[SEP]한글 프로그램 컴퓨터 설치되어있나요?[SEP]컴퓨터에 엑셀 파일 설치 되어있나요?,2
그러면 어떻게 하고 계시는가요?[SEP]어떻게 키우고 있는지.[SEP]가장 좋은 방법이 무엇일까요?[SEP]잘 모르겠어요.[SEP]제가 시대에 뒤처져서,1
그렇죠.[SEP]그건 남편도 제가 염려하는 부분을 하려고 하기 때문일 거예요.[SEP]제 생각으론 그가 얼마나 멀리 칠 것인지.[SEP]제가 걱정하는 부분이에요.[SEP]이 드라이브로 정했어. 정말 멀리 칠 거야.,3
양모가죽이에요 양쪽으로요[SEP]아 이게 양모예요?[SEP]네 싸게 붙여서 나오는 거하고 다릅니다[SEP]가격도 좀 있겠네요[SEP]50프로까지 해드려요,2
"그렇게 해야 하는 이유는 많은 사람이, 많은 여성이 감당할 수 없기 때문입니다. [SEP]당신이 말한 것처럼 만약 4명의 아이를 가졌다면.[SEP]심지어 2명의 아이만 가졌다고 해도.[SEP]당신의 모든 급여는 아이들이 가는 그곳에 쓰일 거예요.[SEP]맞아요.",4
주중에는 집에 돌아가서 좀 더 만들지.[SEP]그래.[SEP]그 사람들은 그걸 직업으로 하는 거야.[SEP]그래서 우리가 싼 가격에 살 수 있는 거지.[SEP]응.,1
제 스케줄이 일정하지 않고 부모님은 일정한 스케줄을 가지고 있기 때문에 규칙적으로 하진 않습니다.[SEP]라켓볼도 하고요.[SEP]졸업한 이후로 해본 적은 없지만요.[SEP]할 만한 곳이 없어요.[SEP]곧 다시 시작할 겁니다.,3
만약 충분히 늦은 시간까지 깨어있을 수 있다면 저는 때때로 새터데이 나이트 라이브를 즐겨 봐요.[SEP]지금은 펜 스테이트 미식축구 경기를 보고 있죠.[SEP]우리가 사는 지역이 여기라서요.[SEP]그렇군요.[SEP]신나네요.,1
"맞아, 매우 흥미로운 여행이었어.[SEP]내가 유일하게 안 좋았던 건 관광객들이 많이 몰리는 지역에서 있었어.[SEP]몇몇 장소가 있는데 말이야.[SEP]물건을 훔치는 데 도가 튼 애들이 있어.[SEP]우리는 이미 알고 있었기 때문에 아무것도 털리지 않았지.",5
"하지만 정말 즐기고 있어요.[SEP]저것 좀 체크하고 나서 그 얘길 해야겠어요.[SEP]최근에도 치셨나요?[SEP]아뇨, 사실 솔직하게 제가 체크했는지 안 했는지 잘 모르겠네요.[SEP]실수한 거 같네요.",3
"네, 할인된 금액이라 십만원이에요[SEP]스위트룸 말고는 어떤 타입이 있어요?[SEP]스위트룸 밑에 디럭스 트윈이 있는데, 방 사이즈가 작아도 괜찮으면 그 방도 괜찮으실 거예요[SEP]디럭스 트윈은 얼마에요?[SEP]디럭스 트윈은 팔만 원에 이용 가능하세요",5
"그렇군요.[SEP]저희 이제는 정말 잘 알게 되었습니다.[SEP]우리 교회에도 대출 담당자가 있는데 그분이 우리를 더 잘 도울 수 있을 것 같아요.[SEP]아시다시피, 그 분은 은행에서 풀타임으로 이 일을 합니다.[SEP]저희는 진실된 사람이라고 알고 있는 친분이 있는 사람들을 통하고자 합니다. ",0
"제 딸들은 스물셋, 스물여섯, 스물여덟 그리고 스물아홉이에요.[SEP]그리고 손녀가 세 명 있어요.[SEP]한 아이는 대전에 살고, 선생님이에요.[SEP]저희더러 아이의 딸을 공짜로 데리고 있게 했죠[SEP]아르바이트만 하는데도 말이에요.",6
요거 까만색하고 다른 거예요?[SEP]색깔만 다르고 같은 거예요[SEP]저 앵글부츠는요?[SEP]사십오인데 다른 사이즈는 없어요[SEP]이렇게 털 달린 거로는 요거밖에 없어요?,2
몇 시에 문 닫아요?[SEP]보통은 한 여덟 시 정도 닫아요[SEP]그러면 계산할 때 현금하고 카드만 돼요?[SEP]현금밖에 안돼요[SEP],1
그래서 파티에 많이 가보지 못했어.[SEP]예전엔 나가서 자주 춤도 추고 그랬었어.[SEP]하지만 이젠 더 이상 그러지 않아.[SEP]그렇구나.[SEP]결혼은 했니?,1
카드도 돼요?[SEP]카드도 좋아요[SEP]현금으로 하면 좀 안 깎아줘요?[SEP]당연히 깎아줘야지요[SEP]현금으로 하면 이게 얼마쯤?,2
설악산이요[SEP]회원 번호 알려주시겠어요?[SEP]회원 번호는 #전화번호#입니다[SEP]몇 평 원하세요?[SEP]21평 3월 30일부터 31일 예약 부탁드립니다,5
오페라구나.[SEP]이제 정리가 좀 된다.[SEP]나는 클래식한 걸 좋아하지만 오페라는 정말 안 되겠더라고.[SEP]헤비메탈은 시끄러워.[SEP]나는 전자 악기의 기계적 음을 강조한 록 음악에 빠져 있어.,1
중국집 명성루죠? 배달 지금 가능한가요?[SEP]예 배달 가능합니다[SEP]주로 어떤 게 잘 나가요?[SEP]탕수육에 짜장이나 짬뽕 세트가 잘 나가죠 [SEP]4인이 먹을 수 있을까요?,1
물 좀 더 주실 수 있나요?[SEP]10분 내로 가져다드리도록 할게요[SEP]체크아웃 시간을 연장할 수 있나요?[SEP]오만 원 더 결제하시면 돼요[SEP]가운이 없는데 가져다주실 수 있나요?,5
"체크인 시간은 오후 세 시부터이고 다음 날 열한 시까지가 체크아웃 시간이에요[SEP]수영장 무료로 이용할 수 있나요?[SEP]수영장은 일박만 무료예요[SEP]키즈클럽이랑 수영장은 다 이용할 수 있네요?[SEP]네, 키즈클럽, 수영장은 가능하세요",5
"네, 저도 그렇다고 생각해요.[SEP]우리 본론으로 돌아갑시다.[SEP]실험이랑 실제 우주 탐사와 같은 것이요.[SEP]러시아 말인데, 그들은 그렇게 큰 위협이 되지는 않을 것 같습니다.[SEP]뭐, 그럴 여유가 없지요.",4
이건 뭐 이자가 23%가 붙더라구요.[SEP]맙소사![SEP]그것이 제가 서둘러 갚은 청구서였어요.[SEP]물론이죠.[SEP]끔찍하네요.,0
네 신어보세요[SEP]가격이 얼마예요?[SEP]40% 할인되는 제품이예요[SEP]40% 되는 게 있고 10% 되는 게 있고 그래요?[SEP]네 할인율이 다 달라요,2
"오, 세상에.[SEP]대단해.[SEP]난 절대.[SEP]최소한 수업에서 도움 될 걸 배우네.[SEP]",1
같은 일이 의회에서도 일어나야 한다고 믿어.[SEP]내 생각은 그래.[SEP]그래. 음.[SEP]좀 말이 안 되긴 하지.[SEP]그게 쉬운 방법이긴 해.,4
"그러게요.[SEP]그게 일종의 동기부여를 해주죠.[SEP]비록 제가 운동을 일이라고 생각하긴 하지만, 전체적으로 도움이 됩니다.[SEP]맞아요.[SEP]콜레스테롤 없는 제대로 된 음식을 먹고 그런 것도요.",3
항상 아이가 하나 더 있는 것은 상상할 수도 없는 일이지만.[SEP]그랬어도 당신은 잘 해냈을 거예요.[SEP]그렇죠.[SEP]저는 일을 해야만 했을 거예요.[SEP]제가 그렇게 아이를 많이 가졌다면 저는 아이들을 위해서라도 일을 해야 했겠죠.,4
"현재 싱글룸 이용 가능해요[SEP]바다 보이는 방으로 예약해주실래요?[SEP]네, 조식은 어떻게 하시겠어요?[SEP]조식도 같이 포함해주세요[SEP]네, 제휴 카드 있으신가요?",5
물가가 아주 비싼 일본이 생각나네.[SEP]그렇지 않니?[SEP]일본 물가는 정말 말도 안 되지.[SEP]가장 등급이 높은 호텔엔 머물지 않았어.[SEP]모두 완전히 깨끗했어.,5
"만약 네가 벽돌공이라면 어떤 사람이 보고 오늘 네가 15,000개의 벽돌을 쌓았다고 말해 줄 수 있겠지.[SEP]전부 일자로 쌓여있고.[SEP]빌딩은 무너지지 않았어.[SEP]너 정말 잘 했구나 하지.[SEP]컴퓨터 시스템을 구축하는 일을 한다면 컴퓨터 프로그램이 정말 무엇을 하는지.",6
"네, 그렇습니다.[SEP]지난 몇 년 동안 전혀 사용하지 않은 것도 있어요.[SEP]전 아마 앞으로도 안 쓸 거예요.[SEP]알겠습니다.[SEP]하지만 전 딜라즈는 좋아해요.",6
저는 저희 집안에 대해 이야기하면 될 것 같아요..[SEP]우리 가족은 9명의 형제가 있었어요.[SEP]8명의 아들과 1명의 딸이 있었어요.[SEP]우리 아빠는요.[SEP]8명의 아들과 1명의 딸이 있었다고요?,6
영수증 드릴까요?[SEP]아니요[SEP]하나는 입고 나머지는 포장해 가실 건가요?[SEP]네[SEP]화장실은 어디 있나요?,2
모텔 이름을 정확히 말씀해 주실래요?[SEP]편한 모텔이라고 해요[SEP]지금 빈 방이 있나요?[SEP]지금 방이 몇 개 안 남았어요[SEP]혹시 파티룸도 있을까요?,5
"여론조사에 대해 듣는 데 지쳤어.[SEP]여론에 따라서 후보자가 서 있는 위치가 달라지지.[SEP]맞아.[SEP]그냥, 말도 안 돼.[SEP]나는 그게 결과에 영향을 줄 수 있고 불공평하게 만들 수도 있다고 생각해.",4
"그런데 웍은 있니?[SEP]응, 가끔 볶는 요리를 해. [SEP]하지만 좀 더 정교한 것들을 알고 싶어.[SEP]웍은 신이 요리하기 위해 주신 선물인 것 같아.[SEP]그건 쉽지.",1
왜냐하면 저는 이 지역에서 저 지역으로 계속 왔다 갔다 했기 때문에요.[SEP]하지만 프랑스어는 말하기가 겁나요.[SEP]프랑스에서요.[SEP]맞아요.[SEP]왜냐하면 그들은 자신의 언어에 대해 우월감에 젖어 있거든요.,6
우리가 몇 년 동안 알고 지내온 부부예요.[SEP]저희는 그들과 주기적으로 연락해서 안부를 묻습니다.[SEP]친구로서 놀기도 하고 음악에 관련된 이야기도 꾸준히 나누죠.[SEP]게다가 제 남편도 음악을 정말 좋아해요.[SEP]그는 연주를 하진 않아요.,6
"그 자체가 운동이겠지요.[SEP]많은 사람이 그걸 하다가 접질리기도 하죠.[SEP]아, 그래요.[SEP]어, 밴드도 하시나요?[SEP]네, 교회에서요.",3
가능성은 있어요.[SEP]여름에 그곳 날씨가 항상 좋아요.[SEP]미니애폴리스에서 북쪽으로 약 2시간쯤 걸려요.[SEP]많이 걸리진 않네요. 좋아요.[SEP]사실은 지난여름에 제가 결혼을 했어요.,3
이건 날씬해야지 입을 수 있겠죠?[SEP]타이트하긴 해요[SEP]이거 앞에 좀 많이 파인 거 아닌가요?[SEP]네 싫으시면 여기 단추 다시면 돼요[SEP]이게 구김은 없는 편인가요?,2
"다른 나라들을 감시하고 방어용으로 쓰기 위해 말이지요.[SEP]저는 그들이 원래 해야 할 일을 놓치고 있다고 생각합니다.[SEP]저는 지금 절반의 국가가 군사 관련국이라고 생각합니다.[SEP]그렇지 않습니까?[SEP]네, 저도 그렇다고 생각해요.",4
"충전할 때 상품권으로도 되나요?[SEP]상품권을 쓰려는데, 그냥 드리면 되나요?[SEP]충전할 때 상품권 가능하죠?[SEP]제 키보드 가지고 와서 사용해도 되나요?[SEP]마우스가 별라라서 제거 연결해서 써도 되나요?",2
이건 다른 데 가져가셔야합니다 우리 기계하고 안맞아요[SEP]집에서 울샴푸 넣어가지고 세척 해도 되는 거예요?[SEP]네 그렇게 해보세요[SEP]이게 순금인지 18케이인지 한 번 봐주시겠어요?[SEP]18케이입니다,2
그것도 맞는 말이야.[SEP]그런 부분도 있고 아마 좀 자세히 살펴봐야 할 부분인 것 같아.[SEP]네 남편분도 아마 다른 사람들처럼 조건부였긴 한 것 같네.[SEP]그건 좀 약간 조건부 같긴 해.[SEP]나는 많은 남자 특히나 중년 남자들이나 나이 든 남자들이 왜 그렇게 느끼는지에 대해 너도 의문을 가져야 할 것 같아. ,4
젊은 사람이 입는 거죠?[SEP]젊은 사람도 입고 다 입어요[SEP]원피스 종류인거죠?[SEP]네 맞아요[SEP],2
그렇겠죠.[SEP]하지만 엘리야였던 것 같아요.[SEP]그렇군요.[SEP]에로 시작해요.[SEP]그래요.,6
"그렇게 하는 게 좋을 것 같아.[SEP]만약 네가 거기 가고 싶으면, 이 여성분이 괜찮거든.[SEP]보스턴의 중국 투어에서 그녀의 이름이 리타였어.[SEP]그렇구먼.[SEP]그래, 내 친구 중 한 명은 중국으로 출장을 갔었거든.",5
네 될 수 있으면 높은 층으로 부탁드려요[SEP]13층 객실로 해드렸어요[SEP]조식 추가하면 얼마에요?[SEP]한 끼당 8000원이에요[SEP]모 식당은 몇 시부터 열어요?,5
바다 뷰로 해주세요[SEP]일박에 10만 원이에요[SEP]몇 시에 입실 가능한가요?[SEP]오후 3시부터 가능해요[SEP]일찍 도착하면 얼리체크인 가능할까요?,5
아니 세무예요[SEP]이거는 얼마예요?[SEP]할인해서 29700원이요[SEP]원 사이즈로 나오죠?[SEP]네 원 사이즈로 나와요,2
지금은 이게 장점인지 단점인지 잘 모르겠어.[SEP]내 아내가 학교 선생님이고 6학년을 가르치고 있는데.[SEP]오늘날 학교 시스템이랑 교수법에 심각한 문제가 있어.[SEP]솔직하게 말하면 선생님들이 충분한 지원을 받지 못하는 것 같아.[SEP]나도 그렇게 생각해.,4
"아틀란틱 카페는 맥킨니에 있어요.[SEP]오, 그래요.[SEP]원래는 카페 퍼시픽 주인과 아틀란틱 카페 주인이 아틀란틱 카페를 함께 운영했었어요.[SEP]지금은 헤어졌어요.[SEP]그리고나서 카페 퍼시픽을 시작했어요.",1
네 앞쪽에는 이거 끼시고 옆에는 좀 더 얇은 걸로 끼시면 되세요[SEP]이거는 큐빅이에요?[SEP]네 그거 큐빅이에요[SEP]이거 새로 나온 디자인이에요?[SEP]네,2
230이요[SEP]편하게 신을 수 있는 거 찾으세요?[SEP]네 봄이니까 편하게 신을 수 있는 거[SEP]이런 건 어떠세요? 이런 거도 신발 무척 편하거든요[SEP]굽 좀 높은 거 없나요?,2
체크인 시간은 언제예요?[SEP]체크인은 3시부터에요[SEP]어디에서 예약하면 될까요?[SEP]공식 홈페이지에서 예약하시면 돼요[SEP],5
무섭지.[SEP]우리는 계속해서 바르게 행동해야 할 것 같아.[SEP]그러게.[SEP]우리는 환경을 파괴하지 않고 관리하는 법을 배워야만 해.[SEP]내 생각엔 오래된 주에서는 가끔 추위가 계속될 때면 벽난로를 사용하는 걸 본 적이 있을 거야.,4
"기저귀를 갖고 캠핑하고 싶진 않았죠.[SEP]오, 그렇긴 해요.[SEP]아이들이 그림자를 무서워하면 스컹크나 어떤 것이 텐트 밖에서 문지른다고 하는 거예요.[SEP]그럼 밤새도록 안 잘 거예요.[SEP]맞아요.",3
이거는 할인 안되죠? 수선도 안되나요?[SEP]네 안됩니다[SEP]한 번 입어봐도 될까요?[SEP]네[SEP],2
몇 분이신가요?[SEP]두 명이요[SEP]넓은 방은 오천 원 추가 금액이 있어요[SEP]몇 시에 퇴실하면 되나요?[SEP]4시간 뒤에 퇴실하시면 돼요,5
"3명이서 잘 방이요[SEP]네, 뷰가 좋은 방이 마침 있는데, 예약 진행 해드릴까요?[SEP]네, 결제할게요[SEP]카드로 하시겠어요?[SEP]아니요 현금이요",5
또 스포츠도 좋아해.[SEP]난 책 읽을 시간이 없어.[SEP]스포츠 일러스트레이티드를 읽긴 해.[SEP]그렇구나.[SEP]논픽션은 잘 안 읽어.,1
"그렇지.[SEP]난 테니스화를 신어.[SEP]그렇구나.[SEP]그치 더 실용적이지.[SEP]응, 백 번을 세탁한들 어쩐들 상관이 없더라고.",6
그게 곱상어예요.[SEP]정말 무서워서 죽을 거 같아요.[SEP]그건 정말 뭔가 암흑시대에 나와서 절대 죽지 않는 그런 거 같아요.[SEP]제가 처음 바다낚시를 갔을 때요.[SEP]제 낚싯줄을 던졌죠.,3
보석이 많이 달려있고 원래는 6만 원도 넘는거예요[SEP]이거 보석이 빠지면요?[SEP]낚시 바늘로 꿰매가지고 안 떨어져요[SEP]바깥 소재는 가죽이에요?[SEP]네 맞아요,2
"특히 아이를 가지면 쉽게 살이 찌는 거 같아요.[SEP]네, 그래야만 하구요.[SEP]무게가 많이 늘 수도 있어요.[SEP]저는 좀 많이 늘었죠.[SEP]전 첫째 가지면서 살이 많이 쪘어요.",3
나는 홍보 일을 많이 했어.[SEP]너를 만들고 무너뜨리곤 하는 종류의 일들.[SEP]클레이튼 윌리엄스의 캠페인을 기억하겠지만.[SEP]그건 확실히 미디어 이벤트였어.[SEP]그가 그런 식으로 자신을 표현하지 않았다면 아마도 그 선거에서 이길 수 있었을 거야.,4
내 여동생도 그랬고.[SEP]게다가 할머니는 아버지를 미치도록 만들었어.[SEP]그녀는 세 명의 상주 가정부를 거쳤어.[SEP]할머니는 짜증을 많이 내는 타입이야. [SEP]매우 늙었다는 것 외에 할머니에게 신체적인 문제는 없었어.,6
오늘은 남색 정장 바지랑 복숭아색 상의 같은 걸 입었는데[SEP]가끔 그런 게 너를 방해할까 궁금해.[SEP]만약 네가 비즈니스에 맞지 않은 옷을 매일 입고.[SEP]만약 경영진이 그것을 눈치채지 못하다가 나중에 알아챈다면 말이야.[SEP]하지만 그들이 어떻게 할지는 나도 몰라.,6
"내가 가고 싶은 휴양지는 바하마나 플로리다 같은 곳이야.[SEP]해변을 즐기거든.[SEP]내 경우에는 지난여름 휴가 이후에 해변을 싫어하게 됐어.[SEP]이런, 우린 해터러스곶에 갔었어.[SEP]메릴랜드에 있는 애들을 만나러 갔는데 며칠 동안 헤터러스곶에 머물렀어.",5
사실 그 사람은 지금도 밖에 타러 나가 있어.[SEP]난 그 정도는 아니야.[SEP]주말에만 사이클 타거든.[SEP]혹시 수공예 쪽으로 하는 것 없니?[SEP]내 생각에 그게 질문이었던 것 같아.,1
오십프로 된거에요?[SEP]네 백 이십 구만 원이요[SEP]회색은 어딨어요?[SEP]여기 있습니다[SEP]사이즈는 55네요?,2
그러니까 상황에 따라 모두 달라.[SEP]우리도 그래.[SEP]어떤 때는 남편하고 둘이서만 나가서 외식할 수 있는 것이 정말 좋아.[SEP]어떤 레스토랑에 가는지는 전혀 상관없고.[SEP]단지 잠깐의 평화롭고 조용한 시간을 보내는 거지.,1
왜냐하면 저는 운동하는 걸 별로 좋아하지 않기 때문이죠.[SEP]그게 기본적인 이유인 것 같아요.[SEP]제가 운동을 즐기지 않는다는 거죠.[SEP]사교적인 활동이나 노는 활동 같은 거라면 좋아합니다.[SEP]스스로를 속여야 합니다.,3
우리는 정말 빚이 없다는 것이 행복합니다.[SEP]동시에 우리가 진짜 두려워하는 것은 바로 지금 이 상태에서 무슨 일이 발생하는 거죠.[SEP]그렇군요.[SEP]당신과 당신의 남편은 무슨 일을 하시나요?[SEP]우리는 사실 선교사입니다.,0
이는 그저 받아들여지는 현상이 될 것입니다.[SEP]이런 일은 없어야겠지만 극소수의 사람들만 집에 머물러 있을 거예요.[SEP]그렇군요.[SEP]그래도 전 괜찮아요.[SEP]왜냐하면 저는 집에 머물러 있고 싶지 않거든요.,4
밑에 검은 거는?[SEP]이것들은 볼이 더 좁아요[SEP]그렇구나 요기 안에 있는 로퍼 이런 거는예?[SEP]그것도 볼이 좁게 나왔어요[SEP]가격대는 어떻게 해요?,2
내가 일단 멈췄거든.[SEP]좀 단순한 것들을 먼저 하고 이 단계로 올라오는 게 낫겠다고 생각했지.[SEP]그래.[SEP]너무 많은 명암과 색들이 있었어.[SEP]아무튼 첫 작품으로는 너무 벅찬 거였어.,1
여기 날씨에 따라 다르잖아.[SEP]너도 알다시피 오늘은 날이 좋았잖아.[SEP]꼭 여름날 같았어.[SEP]한 17도 되더라.[SEP]와우.,6
정말이구말구.[SEP]특히 배우자가 같이 작업한다면 말이지.[SEP]그래 맞아.[SEP]두 사람이 함께 할 수 있는 것이 좋아.[SEP]하지만 난 조용히 일을 처리해버리는 것을 좋아해.,1
네가 그것에 대해 어떻게 생각했는지 궁금하네[SEP]알았어.[SEP]사람들은 그의 능력보다는 인기 때문에 그를 원했지.[SEP]나도 생각해 봤는데.[SEP]대중들이 항상 영웅을 원한다는 것에 약간 관심이 갔어.,4
